User: "Mini_lvd11" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cam | PJ: 14 | Pts: 155.3
User: "misterigle" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 292.1
User: "misterigle" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 266.1
User: "MKS IMPACT" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_wingers | PJ: 10 | Pts: 105.6
User: "molina73" | Team: "90min FC" (90min) | Pos: undefined | LB: top_wingers | PJ: 10 | Pts: 122.4
User: "mrtaker22" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_gk | PJ: 20 | Pts: 251.1
User: "MxkiClxmps" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 211.3
User: "Nacheete777" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 268.1
User: "Nacheete777" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cam | PJ: 18 | Pts: 226.1
User: "Nicoeff96" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 215.2
User: "not_ven00m" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_gk | PJ: 4 | Pts: 41.8
User: "noux1900" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_gk | PJ: 20 | Pts: 237.3
User: "Nus_tony" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 3 | Pts: 37.8
User: "Oskarrrr12" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 338.8
User: "oxkronn" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_gk | PJ: 18 | Pts: 182.8
User: "pablito80181" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_strikers | PJ: 14 | Pts: 241.7
User: "PacooRuiz" | Team: "90min FC" (90min) | Pos: undefined | LB: top_wingers | PJ: 14 | Pts: 175.1
User: "paquito" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 265.3
User: "pingabailarina69" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_strikers | PJ: 14 | Pts: 178.1
User: "Ponxii_Twitch_7" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cb | PJ: 15 | Pts: 163.6
User: "PrinceMatute" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cdm | PJ: 12 | Pts: 180.1
User: "PrinceMatute" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cam | PJ: 12 | Pts: 160.1
User: "psychoz" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 333.7
User: "raafagonzaa98" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_gk | PJ: 12 | Pts: 103.4
User: "Raaulux" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 217.8
User: "Raul Pro" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 193.1
User: "raultiity" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_wingers | PJ: 12 | Pts: 123.7
User: "ravenn8" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 275.2
User: "ravenn8" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cam | PJ: 14 | Pts: 162.5
User: "Retromoneybeatz" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_strikers | PJ: 12 | Pts: 139.2
User: "rubstore66" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 344.3
User: "rubstore66" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 300.3
User: "rzponzio" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 277.2
User: "S25D" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_gk | PJ: 2 | Pts: 15
User: "satitajr" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 319.3
User: "sebasmoreno1998" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_gk | PJ: 4 | Pts: 47.6
User: "sergigimenez" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 2 | Pts: 22
User: "sergioness" | Team: "90min FC" (90min) | Pos: undefined | LB: top_wingers | PJ: 12 | Pts: 131
User: "steph69enzo" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_gk | PJ: 2 | Pts: 14.9
User: "TanqueRoldan22" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cdm | PJ: 16 | Pts: 224.2
User: "TeweletelaJR" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 417.5
User: "tiburonvali l5l" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cdm | PJ: 10 | Pts: 161.3
User: "tojor" | Team: "90min FC" (90min) | Pos: undefined | LB: top_strikers | PJ: 10 | Pts: 106.1
User: "Trianapuerta" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_wingers | PJ: 10 | Pts: 139.4
User: "Tw_didacssj" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_strikers | PJ: 12 | Pts: 140.1
User: "TweetzJ" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 5 | Pts: 0
User: "txiki99" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_wingers | PJ: 18 | Pts: 205.8
User: "usamacancel_01" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 246.3
User: "valdi_17" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 307.4
User: "Vargas7_x" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 246.7
User: "ventura-4" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_gk | PJ: 16 | Pts: 172
User: "vicente_haz" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 372.5
User: "vicente_haz" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cam | PJ: 14 | Pts: 193.7
User: "Vicente4560" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 210.2
User: "victortacone" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 245.8
User: "Villapastor" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 183.3
User: "vitty17b" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_cam | PJ: 13 | Pts: 178.2
User: "vlobato10" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 10 | Pts: 101.6
User: "Vpg_rapha" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_gk | PJ: 4 | Pts: 50.5
User: "VZskyzze " | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 151.5
User: "waitinth3bush" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 154.3
User: "xElShaaraWy-7" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 280
User: "xjgarcia02" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 202.8
User: "xJzule" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_wingers | PJ: 16 | Pts: 150.4
User: "xNaanos" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cb | PJ: 18 | Pts: 203.4
User: "xpetruu" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_wingers | PJ: 12 | Pts: 140.3
User: "xrayo_9" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_strikers | PJ: 16 | Pts: 374.3
User: "xsantijmzzx" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_wingers | PJ: 10 | Pts: 142.2
User: "XxDanielito98xX" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cdm | PJ: 16 | Pts: 267.9
User: "Xxelpadrino92xx" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 376.3
User: "xYanfr1" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_strikers | PJ: 12 | Pts: 121.8
User: "yassingamerpro" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_strikers | PJ: 8 | Pts: 132.6
User: "Yyeraxxyy" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 264.2
User: "zgamingkalo" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_cb | PJ: 15 | Pts: 140.5
User: "zWeeDMyScuF" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_strikers | PJ: 11 | Pts: 180.9
User: "Zyeeyiitoo" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_gk | PJ: 11 | Pts: 119.2
